Action,Date,Ad Title/Id,Page/App
Impression,2025/05/12,650083413,arstechnica.com
Impression,2025/05/12,675869386,thedailybeast.com
Impression,2025/05/12,679897753,thedailybeast.com
Impression,2025/05/15,628476776,baeldung.com
Impression,2025/05/15,655746083,baeldung.com
Impression,2025/05/15,664276076,baeldung.com
Impression,2025/05/15,667346464,baeldung.com
Impression,2025/05/15,667366114,baeldung.com
Impression,2025/05/16,454912823,wired.com
Impression,2025/05/21,623541264,theverge.com
Impression,2025/05/21,655587703,theverge.com
Impression,2025/05/21,684271206,theverge.com
Impression,2025/05/21,689225856,theverge.com
Impression,2025/05/23,689780166,dailymail.co.uk
Impression,2025/05/26,510393804,geeksforgeeks.org
Impression,2025/05/26,650054093,geeksforgeeks.org
Impression,2025/05/26,650054103,geeksforgeeks.org
Impression,2025/05/26,707817906,geeksforgeeks.org
Impression,2025/05/28,616314496,forbes.com
Impression,2025/05/28,636489316,forbes.com
Impression,2025/05/28,639705026,buzzfeed.com
Impression,2025/05/28,655746083,forbes.com
Impression,2025/05/28,659447116,forbes.com
Impression,2025/05/28,663432643,forbes.com
Impression,2025/05/28,664285626,forbes.com
Impression,2025/05/28,667366114,forbes.com
Impression,2025/05/28,675427446,buzzfeed.com
Impression,2025/05/28,684271206,forbes.com
Impression,2025/05/28,684280726,forbes.com
Impression,2025/05/28,688884743,forbes.com
Impression,2025/05/28,689780596,forbes.com
Impression,2025/05/28,707638976,forbes.com
Impression,2025/06/08,639668946,dailymail.co.uk
Impression,2025/06/08,646553383,dailymail.co.uk
Impression,2025/06/08,684222236,dailymail.co.uk
Impression,2025/06/08,709321056,dailymail.co.uk
Impression,2025/08/25,707106094,cbc.ca
Impression,2025/08/25,768026693,cbc.ca
Impression,2025/09/03,707125014,merriam-webster.com
Impression,2025/09/03,745766833,merriam-webster.com
Impression,2025/09/03,745811553,merriam-webster.com
Impression,2025/09/03,813480793,merriam-webster.com
Impression,2025/09/03,835444846,merriam-webster.com
Impression,2025/10/07,839245614,cbc.ca
Impression,2025/10/11,839205884,thesaurus.com
Impression,2025/10/17,707153364,tasteofhome.com
Impression,2025/10/19,707106094,forbes.com
Impression,2025/10/19,776964164,forbes.com
Impression,2025/10/22,316379584,thecookierookie.com
Impression,2025/10/22,602674294,allrecipes.com
Impression,2025/10/22,602683394,thecookierookie.com
Impression,2025/10/22,628514686,thecookierookie.com
Impression,2025/10/22,681085294,thecookierookie.com
Impression,2025/10/22,734000734,thecookierookie.com
Impression,2025/10/22,745777423,thecookierookie.com
Impression,2025/10/22,745787043,thecookierookie.com
Impression,2025/10/22,745787053,thecookierookie.com
Impression,2025/10/22,745817023,bellyfull.net
Impression,2025/10/22,745817023,thecookierookie.com
Impression,2025/10/22,745817033,bellyfull.net
Impression,2025/10/22,745817033,thecookierookie.com
Impression,2025/10/22,776716664,thecookierookie.com
Impression,2025/10/22,776736724,thecookierookie.com
Impression,2025/10/22,776885174,thecookierookie.com
Impression,2025/10/22,776885504,thecookierookie.com
Impression,2025/10/22,777132264,bellyfull.net
Impression,2025/10/22,826376624,thecookierookie.com
Impression,2025/10/22,826877084,bellyfull.net
Impression,2025/10/22,839205884,thecookierookie.com
Impression,2025/10/22,839245614,thecookierookie.com
Impression,2025/10/22,839758124,bellyfull.net
Impression,2025/10/22,845089966,bellyfull.net
Impression,2025/10/22,855441784,thecookierookie.com
Impression,2025/10/22,864100433,thecookierookie.com
Impression,2025/10/22,873965706,allrecipes.com
Impression,2025/10/22,882134486,tasteofhome.com
Impression,2025/10/22,882658003,tasteofhome.com
Impression,2025/10/22,882942193,allrecipes.com
Impression,2025/10/22,883875846,tasteofhome.com
Impression,2025/10/22,908447606,thecookierookie.com
Impression,2025/10/22,925883996,allrecipes.com
Impression,2025/10/22,925883996,tasteofhome.com
Impression,2025/10/24,722443693,caranddriver.com
Impression,2025/10/24,826566504,thesaurus.com
Impression,2025/10/26,752486143,newsweek.com
Impression,2025/10/26,882892363,newsweek.com
Impression,2025/10/26,901666623,newsweek.com
Impression,2025/10/26,922047576,newsweek.com
